row_id	split	note	sentiment	theme	assureur	snippet
315	train	3.0	neutral	Pricing	APRIL Moto	Satisfied with prices and internet service, but insurance today are more and more expensive, I find that there is still a specialized section for all-terrain mo
317	train	2.0	negative	Pricing	MGP	Far too expensive compared to competition at the same level of guarantees and services. I am currently looking for an alternative, 226 euros per month is no lon
319	train	1.0	negative	Other	Pacifica	Pacifica home insurance is very deceiving. No defense in short you have to manage and go and ask for help elsewhere. I would not say more so, fortunately that t
322	train	1.0	negative	Claims Processing	Allianz	I am a non -occupying co -owner on the 6th floor of a building. Water damage occurred in the apartment in hot and cold water pipes that are not accessible passi
324	train	3.0	neutral	Claims Processing	AXA	Very kind and attentive correspondent. I had very good reports as a result of a fire The damage was well assessed. I also have a group mutual, no problem for su
333	train	4.0	positive	Coverage	GMF	Satisfied on home and automotive insurance Legal protection insurance, life accidents do not meet my expectations ...
336	train	1.0	negative	Claims Processing	Direct Assurance	Insured at home for several years with 50% of bonuses no claim, it does not stop increased contributions each year instead of the decrease, I change insurance
337	train	2.0	negative	Pricing	Direct Assurance	The prices increase rather quickly + from € 80 of increase on the contract of our C4 in 2 years when we had no claim, I find it a little exaggerated ....
338	train	1.0	negative	Pricing	Direct Assurance	Price that increases without reason, it is no longer the direct insurance of the other times ..... Pretext of the bogus patterns to justify the increases .....
341	train	2.0	negative	Claims Processing	Direct Assurance	"I will not give an opinion on the loss regulations since not had the opportunity to ""test"". On the other hand, systematic increases of 10% per year are not acce"
344	train	2.0	negative	Pricing	Pacifica	I asked to lower the price of my insurance this is not possible for the difference I keep my insurance for the moment before finding cheaper insurance !!!
346	train	5.0	positive	Pricing	APRIL Moto	Fast, simple and efficient. Being able to do this online makes things even easier. The prices are more than well, and be based in France with French employees, 
350	train	3.0	neutral	Claims Processing	Direct Assurance	Despite the number of years of insurance in your home without any accident it increases from year to year which does what time I am looking for another insuranc
352	train	1.0	negative	Cancellation	Santiane	Please it is a mutual to take. It's just anything. Am very disappointed with Santiane. Not the possibility of making a termination
355	train	2.0	negative	Customer Service	L'olivier Assurance	I am not satisfied with the multi-auto offer, it should be possible to provide different contact details for the various vehicles provided by the 1st subscriber
357	train	1.0	negative	Claims Processing	AXA	Very dissatisfied after a disaster the very arrogant expert come without even the quote And ultimately no compensation, After contesting, charge it as reluctant
360	train	4.0	positive	Pricing	Matmut	Advantageous price for young people even with a lot of horses, to see in the event of an accident. So I cannot put all the stars as long as I have not seen thei
361	train	5.0	positive	Enrollment	Direct Assurance	Hello, The price suits me I find it the cheapest on the internet market And registration and simple and efficient Regards Madame Chaou
363	train	4.0	positive	Enrollment	Direct Assurance	I am satisfied to have completed my home insurance quickly and easily with simplified requests. I would recommend my loved ones to join your services
366	train	1.0	negative	Cancellation	L'olivier Assurance	Hello, I leave a telephone call with the olive assurance. It's scandalous. I explain: I received confirmation from my insurance termination. However, today, a d
367	train	1.0	negative	Customer Service	Cardif	WHERE IS MY MONEY???? I am the benefit of cardif life insurance subscribed by my mother (BNP Paribas Multiplacements 2 N ° 01469721.0001). In January 2020 the f
368	train	4.0	positive	Other	L'olivier Assurance	Ras continue as that hoping that advertising and conforming to reality Very pleasant and available and professional welcome load good advice well done
373	train	2.0	negative	Claims Processing	AXA	I have been the victim of an active water damage by infiltration for 18 months. My wall is saturated with water. I have no more placo, there are molds and insec
380	train	5.0	positive	Enrollment	Néoliane Santé	I have been insured for 3 months and, having not yet received my new card, I have called. I was very well received by Widad who informed me about the shipment a
390	train	2.0	negative	Claims Processing	Eurofil	VEHICLE TO THE THIRD PARTIES, took water during flooding natural disaster classes: no compensation (even if it is a priori in their law) or no commercial gestur
394	train	5.0	positive	Other	APRIL Moto	Very good insurance for monitoring of monitoring Thank you to your team I recommend your insurance I do not be on it by this insurer I also have my mutual
402	train	5.0	positive	Pricing	L'olivier Assurance	Perfect very warm welcome, with a good salesperson. The price changed a little at the end but from the modification of the contract. Well explained by the sales
403	train	4.0	positive	Customer Service	Direct Assurance	I am very happy with the car rate and very nice customer service And they are listening to us Internet service and very well explain and easy
405	train	3.0	neutral	Coverage	Néoliane Santé	Very pleasant and responsive! Mélanie advised me well and guided for the choice of the complementary health contract best suited for my daughter according to he
406	train	1.0	negative	Other	Active Assurances	Be careful with this insurer who is completely incompetent, who does not communicate with you and your other insurance.
408	train	4.0	positive	Pricing	Direct Assurance	I am satisfied, it is fast practical and I had an answer to what I was looking for very quickly. I advise this insurance The prices are interesting.
409	train	1.0	negative	Customer Service	Afer	Deplorable customer service .... more than 3 weeks that I await the release of an advance and no one answers me, despite many reminders and calls. I plan to pla
412	train	5.0	positive	Pricing	Direct Assurance	The price suits me and simple to document. I think I ensure my other vehicles (Mégane CC and Espace 3) and properties (main house, secondary house and rental ap
413	train	4.0	positive	Enrollment	Génération	Top phone information Website Only downside sometimes when I have to transmit several documents on the site I can only transmit one sheet and not several
414	train	2.0	negative	Claims Processing	Magnolia	Very bad experience. The file was very poorly followed for more than 5 months so that it is then no longer possible to set it up because the anniversary date wa
417	train	1.0	negative	Claims Processing	MAAF	What to do ? My house burned in October 2015. More than a year later, the expert mandated by the MAAF did not make its conclusions.
418	train	3.0	neutral	Pricing	Direct Assurance	Very very difficult to access your personal space, the internet address that is not found, poorly informed. Big hassle every time, it's not clear. at all. If th
424	train	4.0	positive	Customer Service	Direct Assurance	very good quality service and speed has listened and very professional assured for many years always as satisfied with the services offered
426	train	5.0	positive	Customer Service	AMV	The service is fast and the site well designed. Competitive stupor with reduction during the COVID. (Not everyone does). On the other hand, I never had a disast
431	train	1.0	negative	Pricing	Active Assurances	Quote made online. Pay 2 months plus the costs 60th. I nai Jalais receive the green card. I treated myself after 5 days after reading the various comments and s
436	train	3.0	neutral	Pricing	Direct Assurance	I am currently a direct insurance customer for my current vehicle. The announced price seems very expensive to me, almost 700 euros difference, this deserves re
438	train	1.0	negative	Other	Matmut	Insurance to avoid are good that to collect contributions when a disaster they are waiting for months and in the end he is looking for a flaw not to settle the 
441	train	4.0	positive	Pricing	Direct Assurance	Satisfied with the relationships, competent staff, competitive prices, speed to establish quote and the realization of contracts / cordially //
442	train	5.0	positive	Claims Processing	Direct Assurance	I am satisfied with the service and the speed of the processing of files. The prices are very attractive and interesting. I will recommend this insurance to my 
445	train	5.0	positive	Customer Service	L'olivier Assurance	I am very satisfied with the care of my first contact made with Mr. Philippe Tuart, as well as other contacts who followed.
451	train	1.0	negative	Enrollment	CNP Assurances	Hello, We try to take out a borrower insurance contract as part of a relay loan which will only last 3 days. The steps started on the internet on May 12, we are
452	train	1.0	negative	Customer Service	Direct Assurance	I do not recommend it strongly, my situation is: I broke down in the middle of nowhere around midnight, I call my insurance I am inquired that the convenience s
453	train	1.0	negative	Pricing	Direct Assurance	I terminated my two contracts (housing, and car) in January 2021 because I was enough to see the premiums take 10 % per year and this despite any disaster. And 
459	train	1.0	negative	Pricing	Mutuelle des Motards	After spending three years at AMDM this year I pay more than my beginnings that my bonus took 0.5%. Their explanations were that they had had a lot of accidents
460	train	5.0	positive	Enrollment	L'olivier Assurance	The group L'Olivier Assurance being part of the Admiral group, you could contact your UK pure branch Recover the documents necessary for my membership because y
462	train	4.0	positive	Enrollment	L'olivier Assurance	I start I don't have much to say about it is not in relation to listening hindows, patient and effective and that my registration was quick
463	train	2.0	negative	Pricing	Direct Assurance	Increase of more than 12% in one year! I have not subscribed to any pack and I see an additional line attacks for more than 25 € I would like to know what it is
466	train	2.0	negative	Customer Service	AMV	I am satisfied with the service but remains to be improved in the sense that if we have to modify or add drivers this is not possible directly
469	train	4.0	positive	Enrollment	Intériale	A member for over 15 years, I have nothing to complain about about my mutual insurance company. Hearing other colleagues talking about their problems, I feel pr
473	train	3.0	neutral	Customer Service	Néoliane Santé	I have been in Santiane since March. The reimbursements have been made without problem. I have always had a good telephone reception
474	train	1.0	negative	Other	MACIF	Who knows good insurance? We pay, we pay but no help, see the opposite. Too bad the insurance is compulsory! The Macif has deteriorated well :(
479	train	1.0	negative	Claims Processing	MACIF	For more than 20 years that I have been at Macif and unfortunately I have been disappointed because for years I have paid very expensive when it should not be s
483	train	4.0	positive	Enrollment	MGP	MGP Cher230 €/month/2 heads. 45 years of subscription, retired PN. I keep it for life insurance dating 1970. Satisfactory reimbursements, suitable for young age
484	train	3.0	neutral	Pricing	Santiane	Rapiditic effective drop in the rate by contribution to old price Best reimbursements
487	train	2.0	negative	Customer Service	L'olivier Assurance	Back in France after several years spent abroad, I was looking for a new insurance for the (new) car that I bought myself on my return. By going to a car insura
488	train	2.0	negative	Claims Processing	Groupama	Claim declared at the time of its discovery, not reimbursed and recommended to terminate us for number of excessive claims (1 sinister)
489	train	1.0	negative	Customer Service	Ag2r La Mondiale	Portability request made in January, response obtained on March 27! In addition to date, April 19, 2021, they have not done the necessary with Ameli, result I a
490	train	1.0	negative	Claims Processing	Pacifica	Cheap insurance which does not cover the costs I am very risky for 11 years, no accident only one per breeze changed 10 years ago, no claim with other car I wen
492	train	1.0	negative	Pricing	AXA	Are always ready to collect insurance monthly payments but, when it comes to contributing a failure on vehicle, everything is done not to pay. While the cost of
494	train	4.0	positive	Customer Service	L'olivier Assurance	The first advice that I had on the phone were not very clear when the last one explained to me very well and it was perfect. I just find that shame that you do 
497	train	1.0	negative	Coverage	MACIF	Macif insurance to flee assured for more than thirty years without auiston with a loss I will change all my insurance contract Moto Moto Moto
503	train	5.0	positive	Other	L'olivier Assurance	I am satisfied even very happy and thank the Olivier Insurance I recommend to all those who have a somewhat special situation like me after 3 years of Africa wi
506	train	1.0	negative	Claims Processing	Ag2r La Mondiale	Reimbursement file refused for my student student after many reminders with the end for reasons .... Certificate of schooling provided not valid because care in
517	train	3.0	neutral	Coverage	Matmut	For 30 years at Mamut for 1 home insurance. 1st sinister, the cold shower! This winter my parking vehicle slipped because of the ice in my garage slope and came
518	train	4.0	positive	Pricing	Direct Assurance	Very simple and easy to understand with a reasonable price without the slightest computer complication or blocking of information give I recommend
523	train	2.0	negative	Cancellation	Néoliane Santé	While the law imposes a compulsory employer mutual it is very complicated to terminate the Mutual Néoliane. It was only after initiating a legal procedure that 
528	train	1.0	negative	Claims Processing	Pacifica	He followed advice…. No one in all ……. very disappointed …. Following a non -responsible disaster…. I have the impression of being the culprit…. This assurance 
532	train	5.0	positive	Customer Service	Zen'Up	Very satisfied with the care and insurance proposed, my advisor has always been present at each request or interrogation. I recommend.
533	train	3.0	neutral	Claims Processing	Génération	Overall satisfied on the other hand by at all happy on the non -reimbursement of Delolane injection not reimbursed while this type of measure is not entered in 
535	train	5.0	positive	Other	Direct Assurance	Very interesting, I really think of subscribing to this insurance, I have a lot of friends who are there and they are very satisfied, especially this Youdrive s
538	train	4.0	positive	Customer Service	L'olivier Assurance	TOP Customer Service, the advisor was very clear and did not lack kindness. He was very professional. I recommend the olive assurance car
539	train	2.0	negative	Pricing	Direct Assurance	Correct insurance but which continues to increase its prices from year to year. The advisor even told me that I had no other choice than to terminate if I wante
540	train	2.0	negative	Claims Processing	MAIF	Hello, member of Maif since 1970, I note a disappointing drift of what is only a mutual pseudo towards the world of trade. While my vehicle is ensured fullness,
544	train	5.0	positive	Pricing	Direct Assurance	I am already a customer for a car at Direct Insurance .. Let still have a better price with my wife as a main driver for this car. This is the secondary car of 
545	train	2.0	negative	Claims Processing	Pacifica	If you have a disaster, your advisor asks you not to renew the contract. The expert goes in a small tailor, and is more girlfriend with the opposing expert than
548	train	5.0	positive	Pricing	Direct Assurance	Very satisfied with services and information; We have been customers for many years at Direct Insurance. The prices are also attractive
551	train	4.0	positive	Customer Service	Cardif	I am in disability 2 and I would like to perceive the capital to change houses suitable for my degenerative disease. I am currently reimbursed monthly 100%. On 
552	train	1.0	negative	Claims Processing	Eurofil	I am a period of 20 years at Euophil today I am to be this insurer I am what we have been a good driver SS accident for 30 years I asked for a commercial gestur
555	train	1.0	negative	Claims Processing	MACIF	Customer for 40 years of the Macif I was terminated for payment delay, it is not easy to reassure myself at my age despite 50%of bonuses the double prices when 
562	train	3.0	neutral	Customer Service	Direct Assurance	The cheapest insurance I have found, the service looks pretty good, easy to use and complete website. The call service is also good
563	train	2.0	negative	Cancellation	Néoliane Santé	I sent several letters by emails and by post with acknowledgment of receipt to cancel my contract with them. I sent 2 letters to the brokerage cabinet accepted 
